host_response_rate.percentage,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,Number.of.amenities,security_deposit,cleaning_fee,instant_bookable,cancellation_policy,require_guest_phone_verification,average_price,if_review_score96,sqrt.host_total_listings_count,sqrt.accommodates,sqrt.security_deposit,sqrt.number_of_reviews,HierCluster,KMeansCluster
96.40529571,1,t,Jamaica Plain,House,Entire home/apt,6,2.5,3,Real Bed,18,250,150,f,moderate,f,375,t,1,2.449489743,15.8113883,3.464101615,1,3
96.40529571,1,f,North End,Apartment,Entire home/apt,4,1.5,2,Real Bed,10,204.28,50,f,flexible,f,200,f,1,2,14.29265546,2.449489743,3,6
96.40529571,1,t,South End,Apartment,Entire home/apt,6,1,2,Real Bed,16,1000,100,f,strict_14_with_grace_period,f,500,t,1,2.449489743,31.6227766,3.16227766,2,3
0,1,t,North End,Apartment,Entire home/apt,4,1,2,Real Bed,13,204.28,100,f,moderate,f,399,f,1,2,14.29265546,4.472135955,1,4
96.40529571,1,t,South Boston,Apartment,Entire home/apt,4,1,2,Real Bed,15,500,70,t,flexible,f,205.7,f,1,2,22.36067977,2.236067977,6,6
96.40529571,1,t,Allston,Apartment,Entire home/apt,2,1,1,Real Bed,13,204.28,30,f,moderate,f,175,f,1,1.414213562,14.29265546,1.732050808,1,6
96.40529571,1,f,Charlestown,Apartment,Private room,2,1,1,Real Bed,15,204.28,72.07,f,flexible,f,200,t,1,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,f,Allston,Apartment,Entire home/apt,4,1,1,Real Bed,11,204.28,72.07,f,flexible,f,130,t,1,2,14.29265546,2.236067977,3,6
96.40529571,1,t,North End,Apartment,Entire home/apt,6,2,2,Real Bed,16,500,75,f,strict_14_with_grace_period,f,600,t,1,2.449489743,22.36067977,2.828427125,2,3
96.40529571,1,t,Beacon Hill,Apartment,Entire home/apt,4,1,1,Real Bed,14,204.28,30,f,flexible,f,180.41,f,1,2,14.29265546,2.236067977,3,6
96.40529571,1,t,Jamaica Plain,Apartment,Private room,2,1,1,Real Bed,16,150,40,f,moderate,f,104.98,t,1,1.414213562,12.24744871,1.414213562,1,6
96.40529571,1,f,Dorchester,Apartment,Entire home/apt,3,1,1,Real Bed,23,204.28,100,f,strict_14_with_grace_period,f,100,f,1,1.732050808,14.29265546,1,2,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,2,1,1,Real Bed,2,100,30,f,strict_14_with_grace_period,f,225,t,1,1.414213562,10,3.872983346,2,6
100,1,t,Beacon Hill,Apartment,Entire home/apt,2,1,0,Real Bed,14,350,85,f,strict_14_with_grace_period,f,220,f,1,1.414213562,18.70828693,9.055385138,2,6
96.40529571,1,f,Back Bay,Apartment,Entire home/apt,2,1,1,Futon,8,204.28,100,f,strict_14_with_grace_period,f,160,f,1,1.414213562,14.29265546,1,2,6
96.40529571,1,t,South Boston,Apartment,Entire home/apt,2,1,1,Real Bed,12,500,100,f,strict_14_with_grace_period,f,175,f,1,1.414213562,22.36067977,2.645751311,2,6
100,2,t,South End,Apartment,Entire home/apt,4,1,2,Real Bed,6,300,75,f,flexible,f,169.27,f,1.414213562,2,17.32050808,5.291502622,3,6
96.40529571,1,f,North End,Apartment,Entire home/apt,4,1,2,Real Bed,11,204.28,25,f,flexible,f,220,t,1,2,14.29265546,1.732050808,3,6
96.40529571,1,t,Jamaica Plain,Apartment,Private room,2,1,1,Real Bed,27,204.28,72.07,t,flexible,f,26.42,f,1,1.414213562,14.29265546,1.414213562,5,6
96.40529571,1,f,Beacon Hill,Apartment,Entire home/apt,2,1,1,Real Bed,16,204.28,10,f,flexible,f,130,f,1,1.414213562,14.29265546,1,3,6
96.40529571,1,t,Roxbury,House,Private room,2,1,1,Real Bed,11,204.28,20,f,strict_14_with_grace_period,f,60,t,1,1.414213562,14.29265546,1,4,6
96.40529571,1,t,Allston,Apartment,Private room,1,1,1,Real Bed,14,204.28,72.07,f,flexible,f,60,f,1,1,14.29265546,1.414213562,4,6
100,3,f,East Boston,House,Private room,2,1.5,1,Real Bed,14,0,0,t,moderate,f,100,f,1.732050808,1.414213562,0,1,5,6
96.40529571,2,t,Brighton,Townhouse,Private room,2,2.5,1,Real Bed,14,204.28,72.07,f,flexible,f,95,t,1.414213562,1.414213562,14.29265546,1.414213562,4,6
